Trial,RAI_XING,RAI_Static,RAI_Role,GRE_XING,CRL_XING,XING_Quality,XING_Cost,XING_Latency,XING_Energy,Static_Failures,Role_Failures,Constraints_Active,Recoveries,Affected
26,4.009630517642276,0.19920864183243073,0.3504912039364891,0.6905417120603357,0.02574696673417854,2.5774871498162466,0.0368081125747385,0.5899737641329333,0.16042228524809365,1,0,False,16,18
27,4.451431267055395,0.19969288203137894,0.40655167233102874,0.6616236025254583,0.10703285651790079,3.654930555127554,0.05813870699964783,0.7423607072565969,0.2056921195783068,0,0,False,15,17
28,8.6183635114459,0.2329161966205019,0.33149945026123323,0.7407984577884817,0.02706674790299319,11.54998846289575,0.1263768145382948,1.1645756579912814,0.4920780819615667,0,3,False,6,7
29,6.853652980911915,0.20045269684116618,0.4098003845376048,0.6583753775559691,0.1283357076065951,6.184608752038185,0.06397561944827278,0.8116452523467346,0.2676049610659462,1,1,False,13,15
30,8.057179498036625,0.2576341113321273,0.3931626983819866,0.6818905868712649,0.0010108121292745694,7.579214249093511,0.07002441516713863,0.8409993595153178,0.2965456703010133,0,2,False,12,14
31,8.099115284096044,0.21816120271251419,0.35066697616851283,0.7899009930058012,0.03140982930376489,8.509124296757957,0.10062340780980188,0.9131468224165156,0.36853695755701027,1,2,False,10,11
32,9.136381128450264,0.2071331541976693,0.45937908274993144,0.7391435669351251,0.008247399831274612,13.256044281104755,0.1709696393646618,1.2202766515213392,0.596612505940771,1,0,False,4,5
33,6.998804611690485,0.18527147435652913,0.32199065891273065,0.7506487248292208,0.018035521619076532,5.558896946790073,0.05981917994854259,0.7111078509503483,0.23336740589277843,1,2,False,14,15
34,8.910864624051039,0.2623390590507808,0.5006755859819314,0.4265396840157982,0.06709029124181859,15.758069021184607,0.18565717036244125,1.5126875184505786,0.7006608679819187,0,2,False,2,4
35,8.404256944172463,0.19509593610132878,0.4429758337935293,0.5904242141508624,0.09403115395069916,13.068734080733329,0.1478220105539493,1.3466977406181606,0.6049387674834847,2,2,False,5,7
36,8.067650233461293,0.23009403712398196,0.5464255565236439,0.654529700333351,0.03260336683788334,11.074844131067948,0.1501751444148113,1.1733810700010823,0.49190968541301366,1,4,False,8,10
37,5.797966712220248,0.19798195356164344,0.3971115517109455,0.6492622760961406,0.005000634823391642,6.552086611714094,0.10726459625623493,0.9883144887724127,0.34487184221295497,1,0,False,11,13
38,8.81367321659515,0.24020906858468466,0.6095249650752096,0.7489177402085129,0.06799510719895069,11.199384744140252,0.13878860524867934,1.0824249875595529,0.4946940949018267,0,1,False,7,8
39,7.779994419200727,0.22635182240633991,0.39456549772287275,0.7521627915303551,0.06034996972092413,7.993638372546721,0.1028285800099986,0.8901265405120459,0.3450556156003127,0,2,False,11,12
40,10.506134306683796,0.224433478955297,0.4480540961196346,0.7356045135368243,0.009200286101128902,14.542274663166022,0.14273349224037138,1.1849394362753087,0.5649695154329785,1,1,False,4,5
41,8.237475170798657,0.1917295644535559,0.36453246756465557,0.5107464421672645,0.025168166292728222,13.098131595616461,0.1462705652868118,1.3847234401296074,0.5907228601818603,1,3,False,3,5
42,10.688199594736254,0.18701162975228597,0.4608067203019321,1.0,0.07627844497157425,17.643945613037644,0.1986253358423034,1.38105117976033,0.7111092120075216,2,0,False,0,0
43,6.637617405896187,0.21204834958453708,0.3675484562376615,0.6702833577182258,0.0374704971404452,6.137403832445707,0.07895215765970479,0.8183012501560558,0.2738618153355299,1,1,False,13,15
44,6.588479521114361,0.24900653363654632,0.33783645008697444,0.6513249680038077,0.06896100380424156,5.625897122882092,0.05905358676918933,0.771143920835719,0.2370165150343468,0,1,False,14,16
45,5.56411433320551,0.20356505954167176,0.28496183818232046,0.6671443763437662,0.03549162983026884,3.1595329454001444,0.01577783082157634,0.540469439935007,0.11593854747378712,1,1,False,17,19
46,5.420011431152442,0.2084540667852707,0.3161337240810759,0.6990599295152523,0.0027037147568985884,4.908278484856761,0.09183084572825889,0.7870448719109997,0.26708808741182555,1,2,False,14,16
47,9.210551560299235,0.2504918756012145,0.44082137398081367,0.0,0.031107479550508892,15.638806291136511,0.16860268999338648,1.4569581442658546,0.723620521990845,0,4,False,0,1
48,8.076403490977345,0.2609536260611342,0.559749954822431,0.5126864975588388,0.01417185716166483,13.69369099671698,0.183542424558155,1.4521186055936919,0.5985740351916237,0,1,False,5,8
49,3.7269838889401057,0.19767331006476116,0.41817997845521065,0.5641637814309799,0.011033369628865461,4.363434725906661,0.09051296431620415,1.0542424631456706,0.26012908525633804,1,2,False,14,17
50,4.582298165592833,0.10228772930696262,0.19277334631561155,0.7422808093277904,0.14976248586532606,2.4014924217671267,0.02918766672580256,0.482321502058892,0.12571180198103288,1,4,True,17,18
51,9.81139643289015,0.09638827195822733,0.3003413053707112,0.741805746698902,0.06677530308043239,14.379420416190607,0.18195823522499235,1.2228878555998584,0.6073737780223943,2,1,True,5,6
52,8.405338097182755,0.11177142656665938,0.2795480496877082,0.6626638883553766,0.002822436545278466,8.734367161251836,0.07086910545542799,0.936339174666733,0.31936970225277633,0,1,True,11,13
53,10.102457861230995,0.09852841109701191,0.3762317324329963,0.7477892949000281,0.011529357652130725,14.278589817061505,0.17065960405744007,1.182423610808376,0.6029460003769921,1,2,True,5,6
54,10.900254306875095,0.09795960806050755,0.3167479559869457,0.7525368466485169,0.07294995695227546,13.30801318944043,0.11814467256563703,1.0567705105481673,0.4597497364581318,1,1,True,7,8
55,3.8463759519230254,0.0766413524337477,0.17968482070150749,0.6435220204319549,0.09990218044369413,2.607313783663889,0.024201002359986862,0.6385826402066841,0.15078796324759258,2,2,True,16,18
56,3.470143895399481,0.08463273604334726,0.1770633406773662,0.6355902688964026,0.20450341964320162,2.8610248454566785,0.0519316160915607,0.752533222818893,0.20003808989035998,0,1,True,15,17
57,10.233053674286518,0.08779873544208393,0.19503276453360216,1.0,0.06099092260947519,16.905672429134114,0.20863231129290125,1.369680513703261,0.7375243013041481,2,3,True,0,0
58,5.4562530656002295,0.0933950684935212,0.21690486173489157,0.703782258776383,0.09140316226883073,3.394098823499618,0.03381406950408067,0.5742303004460664,0.14012338690848042,1,1,True,16,18
59,8.439415617792275,0.09531400239089875,0.25751637525809823,0.7721233464264059,0.018323827763316352,7.776527038637098,0.08740846662463023,0.8017200275729213,0.3232476641001338,1,0,True,11,12
60,8.188973431794688,0.10535027053905513,0.13501068235466443,0.7618139011872831,0.04957747371026155,9.500737266188478,0.10476423514748198,1.0150522384905873,0.40370129154010304,0,4,True,8,9
61,9.024169584170934,0.11577376258542804,0.25501007584156526,0.7622079754201609,0.01302885056289003,9.115527857441068,0.08415276203981996,0.8909591622377037,0.3501180759808115,0,1,True,9,10
62,4.1450742136638965,0.0920079574072078,0.23846727848192784,0.5917411504927572,0.12435645027313785,4.059818038389566,0.06264556133327571,0.8939341051897025,0.22852263792457211,0,2,True,14,17
63,9.404384328326062,0.08251989755771831,0.26273270303525237,0.6712046844872068,0.03471497310656269,14.900862878363409,0.18714029734756119,1.3333411952518786,0.639776658254157,2,1,True,3,4
64,9.586052962997902,0.10903504648673304,0.3245631356572384,0.7701001037497338,0.04392872721706803,11.847115063986234,0.13921509464081566,1.0484104999840298,0.4824438332290994,0,1,True,7,8
65,7.964825617524685,0.08533082694135333,0.21787399536744723,0.689185814886983,0.029716432933961912,8.715344231225757,0.10124051860059967,0.9540509572794481,0.38937657278842347,2,5,True,10,12
66,9.350840686116138,0.11265663154599874,0.35326661842685636,0.7551604889672074,0.026930689909265677,13.296438178953862,0.1545923619943852,1.2128372216223373,0.54521514180937,0,2,True,5,6
67,8.221336405066204,0.11004591528684333,0.29488644699610717,0.6604990910750614,0.04780564338644849,10.669244419186182,0.1347675535295754,1.1185490789392163,0.444339878088937,0,2,True,9,11
68,3.8956171248264884,0.10610568762075494,0.2977160711988523,0.7510606562914316,0.1538265624869382,1.826317934223533,0.017004525875596276,0.4442135582176512,0.07595424961464235,1,0,True,18,19
69,7.924300505031909,0.09560506817268107,0.2880075891403952,0.7683411448713388,0.042234003503113834,8.651873832837067,0.11646332972475497,0.9368301971406714,0.3852193714217269,1,1,True,10,11
70,7.5251566873622355,0.09882498170823079,0.24714932574437018,0.4905346142484355,0.04294105615467573,12.149506138116507,0.14959377314722705,1.406094393628008,0.588305260408781,0,0,True,5,8
71,10.636055392259284,0.1132748279503106,0.4817689710821805,0.7922745925296838,0.05848629723011587,12.147180067519171,0.11388036190454678,0.9870878318892287,0.41107474255081955,0,0,True,8,9
72,5.543562686477252,0.09171211529136614,0.24272959084407597,0.7504773755371301,0.009109930409645407,4.757444543079301,0.09637643446067043,0.7345229491705655,0.27293228618720833,0,1,True,14,15
73,2.6562669658894165,0.10567235893975178,0.36468390490220337,0.7516957656312528,0.07472807897772193,1.2769486677918207,0.02926694736820045,0.4425598806789579,0.08903717560576138,0,1,True,18,19
74,4.882707475582513,0.09809716864475626,0.18136561192742137,0.7577356902901649,0.20957773742843622,2.6966587307296552,0.03272792270232354,0.5047337637726714,0.14825900732539055,0,1,True,16,17
75,8.79961162948837,0.1067628651666096,0.23116679747106,0.6670029434496282,0.0169710029298411,9.935623632347463,0.09333937415224573,0.9984644455046973,0.3729415087759796,0,1,True,9,11
76,11.411604648283086,0.11527585569521583,0.3680618868050488,0.0,0.051212351800374915,19.68458370041252,0.19034566604021771,1.463436205857107,0.7118006878593671,1,0,True,0,1
77,7.774131927191137,0.07272573280101846,0.1391102810943942,0.7731245121028882,0.040978915038353866,5.504611938245747,0.050928597679089346,0.6383144748966184,0.18824656374527865,3,2,True,14,15
78,8.247896863179319,0.10120516525457374,0.30482632683369526,0.7604292896577511,0.01448421581855717,11.304151933708402,0.1608745197974351,1.1551955724205292,0.5447953045893583,0,3,True,6,7
79,9.056625458274182,0.11110851137724456,0.2350145816615665,0.7458206249163429,0.03696083971587297,12.568193826782192,0.14607568264516227,1.186322043106577,0.5533701989790248,0,0,True,6,7
80,8.405978736944693,0.09962219866727491,0.2922406703053873,0.6035725052091829,0.09443106845637846,12.657696565164182,0.15396577956255017,1.2954732985234625,0.5635780307108287,1,0,True,5,7
81,6.9772256269953274,0.09904682756718718,0.27293841285475046,0.6178544506177893,0.000584416820991274,7.793869020996023,0.09960607616751489,0.9823113515196041,0.3512671530878034,0,2,True,11,14
82,5.914539452172673,0.07773627155699536,0.2636425402185013,0.5730960904834511,0.02563416722481447,7.26079661052072,0.10998295739806156,1.081783376475578,0.35851922667621317,2,2,True,11,14
83,6.0004623695674715,0.09230863732569158,0.1760032386837627,0.5831449057459852,0.058200523382631764,7.669095124853273,0.12294866364206639,1.1150338832189552,0.4010148275452959,1,1,True,11,14
84,7.906416923990037,0.10835559691838818,0.19307973471746742,0.7557399812639817,0.10009176815225512,5.189622182256308,0.0454124656509899,0.5914909582343623,0.19477618519545845,0,3,True,15,16
85,9.801703822072719,0.11215181304877292,0.20864491278263467,0.4645700446006287,0.044388609097044195,17.304487272711423,0.21223628126326496,1.4784982330049106,0.7472255185363343,0,2,True,1,2
86,2.851082477517118,0.0730634429813293,0.3216262472924132,0.7441251940743917,0.20661727829912213,1.2621527671728665,0.020031850696473466,0.4148563867268876,0.07804240653253436,3,1,True,18,19
87,2.5529612863564846,0.10347935412601594,0.2828800953182386,0.7322364415903369,0.10048597531432732,1.285770065213125,0.03255403643197475,0.46306470597509736,0.08019942630780726,0,0,True,18,19
88,5.923023512003275,0.09211323921243114,0.22699986114050558,0.6859212693173777,0.037598900465933206,6.181965369592861,0.09495672998349668,0.9161960060088277,0.32565114707546894,1,0,True,12,14
89,8.429472630213409,0.0851315589217165,0.2876069516000486,0.0,0.03293028128534578,15.448731677011196,0.21933790446462695,1.5374694295951314,0.758970775589412,1,4,True,0,1
90,10.754533625977082,0.11503201223311192,0.44198325065414207,0.7620188412466643,0.06450464462041838,13.705804690413977,0.12353031847846263,1.100019238869474,0.508715535134619,1,2,True,6,7
91,6.788449935957409,0.09657783392534272,0.22939096470643136,0.6505728983945729,0.06874067317652303,7.764642402194134,0.10832506395182266,0.9985008119931599,0.36976092905959235,1,3,True,11,13
92,7.4113043881801595,0.08748368331317183,0.21392889540122986,0.774096296257194,0.01582823917478613,4.506601506955907,0.04008617715940431,0.5510726272803189,0.16912497306189833,1,3,True,15,16
93,6.6688125706153665,0.09046116315816652,0.19312213933608902,0.6830312652242952,0.03215112581325354,7.89585518345176,0.10685994173248414,1.035383123584276,0.4175410057197444,1,1,True,9,11
94,6.430236532804091,0.08227238222029139,0.2359950032654115,0.7549213254635594,0.07675154576871987,6.765507677645711,0.09923453566125393,0.9138728651274899,0.3903238335935425,2,1,True,10,11
95,2.293954259400934,0.08222691711076906,0.21913107232099804,0.6495163657975959,0.1385150591857362,1.6076966562357304,0.04378720058979001,0.6426886827540178,0.14364880872467486,1,1,True,17,19
96,8.368488155644012,0.08371344550877516,0.23557284065617962,0.6605445811632703,0.018798726565558102,11.742854156372747,0.15583642933519573,1.1928212651100893,0.5456519814528868,2,1,True,7,9
97,6.561402950819236,0.12186211905786452,0.28152655055370407,0.4698279272345596,0.0045835603660914276,10.290382935102022,0.1457158565920083,1.3663563148512017,0.5624835577226877,0,0,True,7,11
98,6.43956239061486,0.10116564229725288,0.29449811249528435,0.6578803947900697,0.027088242833107058,6.240287919008998,0.07867961636942783,0.8603449602455842,0.300300796615871,0,0,True,13,15
99,8.17679779348039,0.0955227400699191,0.1582690630017658,0.7788323522640394,0.024818722854961676,8.596125748924035,0.10594718563050153,0.9076427733266879,0.3769270279310944,1,4,True,10,11
